nCodePoint,sName,sLaTex,eGlyphClass,nTopAccentX,nItalicCorr
0,acircumflexgrave.sts,,0,0,0
0,Acircumflexhookabove.sts,,0,0,0
0,acircumflexhookabove.sts,,0,0,0
0,Acircumflextilde.sts,,0,0,0
0,acircumflextilde.sts,,0,0,0
0,Adieresis.sts,,0,0,0
0,adieresis.sts,,0,0,0
0,Adotbelow.sts,,0,0,0
0,adotbelow.sts,,0,0,0
0,Agrave.sts,,0,0,0
0,agrave.sts,,0,0,0
0,Ahookabove.sts,,0,0,0
0,ahookabove.sts,,0,0,0
0,Amacron.sts,,0,0,0
0,amacron.sts,,0,0,0
0,aring.sts,,0,0,0
0,Atilde.sts,,0,0,0
0,atilde.sts,,0,0,0
0,Cacute.sts,,0,0,0
0,cacute.sts,,0,0,0
0,Ccaron.sts,,0,0,0
0,ccaron.sts,,0,0,0
0,Dcaron.sts,,0,0,0
0,dcaron.sts,,0,0,16
0,Eacute.sts,,0,0,0
0,eacute.sts,,0,0,0
0,Ecaron.sts,,0,0,0
0,ecaron.sts,,0,0,0
0,Ecircumflex.sts,,0,0,0
0,ecircumflex.sts,,0,0,0
0,Ecircumflexacute.sts,,0,0,0
0,ecircumflexacute.sts,,0,0,0
0,Ecircumflexdotbelow.sts,,0,0,0
0,ecircumflexdotbelow.sts,,0,0,0
0,Ecircumflexgrave.sts,,0,0,0
0,ecircumflexgrave.sts,,0,0,0
0,Ecircumflexhookabove.sts,,0,0,0
0,ecircumflexhookabove.sts,,0,0,0
0,Ecircumflextilde.sts,,0,0,0
0,ecircumflextilde.sts,,0,0,0
0,Edieresis.sts,,0,0,0
0,edieresis.sts,,0,0,0
0,Edotaccent.sts,,0,0,0
0,edotaccent.sts,,0,0,0
0,Edotbelow.sts,,0,0,0
0,edotbelow.sts,,0,0,0
0,Egrave.sts,,0,0,0
0,egrave.sts,,0,0,0
0,Ehookabove.sts,,0,0,0
0,ehookabove.sts,,0,0,0
0,Emacron.sts,,0,0,0
0,emacron.sts,,0,0,0
0,Etilde.sts,,0,0,0
0,etilde.sts,,0,0,0
0,Gbreve.sts,,0,0,0
0,gbreve.sts,,0,0,0
0,Gcommaaccent.sts,,0,0,0
0,gcommaaccent.sts,,0,0,0
0,Iacute.sts,,0,0,0
0,iacute.sts,,0,0,0
0,Icircumflex.sts,,0,0,0
0,icircumflex.sts,,0,0,0
0,Idieresis.sts,,0,0,0
0,idieresis.sts,,0,0,0
0,Idotaccent.sts,,0,0,0
0,Idotbelow.sts,,0,0,0
0,idotbelow.sts,,0,0,0
0,Igrave.sts,,0,0,0
0,igrave.sts,,0,0,0
0,Ihookabove.sts,,0,0,0
0,ihookabove.sts,,0,0,0
0,Imacron.sts,,0,0,6
0,imacron.sts,,0,0,51
0,Itilde.sts,,0,0,0
0,itilde.sts,,0,0,34
0,Kcommaaccent.sts,,0,0,0
0,kcommaaccent.sts,,0,0,0
0,Lacute.sts,,0,0,0
0,lacute.sts,,0,0,0
0,Lcaron.sts,,0,0,0
0,lcaron.sts,,0,0,24
0,Lcommaaccent.sts,,0,0,0
0,lcommaaccent.sts,,0,0,0
0,Nacute.sts,,0,0,0
0,nacute.sts,,0,0,0
0,Ncaron.sts,,0,0,0
0,ncaron.sts,,0,0,0
0,Ncommaaccent.sts,,0,0,0
0,ncommaaccent.sts,,0,0,0
0,Ntilde.sts,,0,0,0
0,ntilde.sts,,0,0,0
0,Oacute.sts,,0,0,0
0,oacute.sts,,0,0,0
0,Ocircumflex.sts,,0,0,0
0,ocircumflex.sts,,0,0,0
0,Ocircumflexacute.sts,,0,0,0
0,ocircumflexacute.sts,,0,0,0
0,Ocircumflexdotbelow.sts,,0,0,0
0,ocircumflexdotbelow.sts,,0,0,0
0,Ocircumflexgrave.sts,,0,0,0
0,ocircumflexgrave.sts,,0,0,0
0,Ocircumflexhookabove.sts,,0,0,0
0,ocircumflexhookabove.sts,,0,0,0
0,Ocircumflextilde.sts,,0,0,0
0,ocircumflextilde.sts,,0,0,0
0,Odieresis.sts,,0,0,0
0,odieresis.sts,,0,0,0
0,Odotbelow.sts,,0,0,0
0,odotbelow.sts,,0,0,0
0,Ograve.sts,,0,0,0
0,ograve.sts,,0,0,0
0,Ohookabove.sts,,0,0,0
0,ohookabove.sts,,0,0,0
0,Ohornacute.sts,,0,0,0
0,ohornacute.sts,,0,0,0
0,Ohorndotbelow.sts,,0,0,0
0,ohorndotbelow.sts,,0,0,0
0,Ohorngrave.sts,,0,0,0
0,ohorngrave.sts,,0,0,0
0,Ohornhookabove.sts,,0,0,0
0,ohornhookabove.sts,,0,0,0
0,Ohorntilde.sts,,0,0,0
0,ohorntilde.sts,,0,0,0
0,Ohungarumlaut.sts,,0,0,0
0,ohungarumlaut.sts,,0,0,0
0,Omacron.sts,,0,0,0
0,omacron.sts,,0,0,0
0,Otilde.sts,,0,0,0
0,otilde.sts,,0,0,0
0,Racute.sts,,0,0,0
0,racute.sts,,0,0,0
0,Rcaron.sts,,0,0,0
0,rcaron.sts,,0,0,0
0,Rcommaaccent.sts,,0,0,0
0,rcommaaccent.sts,,0,0,0
0,Sacute.sts,,0,0,0
0,sacute.sts,,0,0,0
0,Scaron.sts,,0,0,0
0,scaron.sts,,0,0,0
0,uni0218.sts,,0,0,0
0,uni0219.sts,,0,0,0
0,Tcaron.sts,,0,0,0
0,tcaron.sts,,0,0,0
0,uni021A.sts,,0,0,0
0,uni021B.sts,,0,0,0
0,Tcedilla.sts,,0,0,0
0,tcedilla.sts,,0,0,0
0,Uacute.sts,,0,0,0
0,uacute.sts,,0,0,0
0,Ucircumflex.sts,,0,0,0
0,ucircumflex.sts,,0,0,0
0,Udieresis.sts,,0,0,0
0,udieresis.sts,,0,0,0
0,Udotbelow.sts,,0,0,0
0,udotbelow.sts,,0,0,0
0,Ugrave.sts,,0,0,0
0,ugrave.sts,,0,0,0
